"Run","JobId","BestName","BestScore","BestCandidate","AllScores"
"1","opt_bdc9e5c5d0f94c5c8cf2029d158e9636","candidate_2","0,98","cand_1465ed93e173446195e3b81bb2a399e5","baseline=0.78 candidate_1=0.97 candidate_2=0.98 candidate_3=0.94 candidate_4=0.94"
"2","opt_94a9e4e1341c4bf1b0d0ded535413e0a","candidate_4","0,83","cand_d6f26aa12f734966bc3f9cffc7ba8dad","baseline=0.78 candidate_1=0.7 candidate_2=0.8 candidate_3=0.81 candidate_4=0.83"
"3","opt_24265f5ccc00466886268117d7914b46","candidate_4","0,84","cand_f3a5fe0e5563488094a96341c22c87d1","baseline=0.77 candidate_1=0.72 candidate_2=0.73 candidate_3=0.81 candidate_4=0.84"
"4","opt_cffb7a231ac544fabb3356f1555ddc13","candidate_1","0,92","cand_d021348ae0fa4345b7bb75520ead6610","baseline=0.81 candidate_1=0.92 candidate_2=0.92"
"5","opt_baa21505bdb64d3dae8d2d0abcf26133","candidate_2","0,84","cand_1959ffc2c4db41318a51f92082a9ed9b","baseline=0.73 candidate_1=0.81 candidate_2=0.84 candidate_3=0.75 candidate_4=0.78"
"6","opt_644d7cc513e14470aeacc270a55e7f4d","candidate_1","0,88","cand_49e40a200fe04b9e8189da3d68a3ce3f","baseline=0.77 candidate_1=0.88 candidate_2=0.75 candidate_3=0.8 candidate_4=0.77"
"7","opt_a8bd3a75fc8d462e90ec687cdbb33d86","candidate_1","0,88","cand_69626745a1814e8cb38de6e0741cab83","baseline=0.77 candidate_1=0.88 candidate_2=0.86"
"8","opt_3932e7f91d054817b510bb94f9717385","candidate_4","0,98","cand_016d6960b61e4d6d8301930198981596","baseline=0.8 candidate_1=0.88 candidate_2=0.83 candidate_3=0.95 candidate_4=0.98"
"9","opt_9a86564af7e649a89d2c3e006eafcedd","candidate_4","0,86","cand_ba64f3adaab946f98eefb5a0373aed47","baseline=0.78 candidate_1=0.77 candidate_2=0.81 candidate_3=0.62 candidate_4=0.86"
"10","opt_8e388a863f8c49f6bfa4613b6db149c8","baseline","0,78","cand_b7ea87dbd33e4de387ea3cac83dea164","baseline=0.78 candidate_1=0.73 candidate_2=0.67 candidate_3=0.73 candidate_4=0.69"
